time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
7.600000000000005362e-02,1.037375337877959741e-01,-2.278516805860756056e-01,2.586744266902066602e+00,-5.706508964111556281e+00,0.000000000000000000e+00,-1.443386316299438477e+00
7.800000000000005540e-02,1.089631206487516046e-01,-2.393824546558914190e-01,2.638628234784815341e+00,-5.823831657911342496e+00,0.000000000000000000e+00,-1.441434383392333984e+00
8.000000000000005718e-02,1.142910492864687849e-01,-2.511449793775648032e-01,2.689079833511411888e+00,-5.938247306146801741e+00,0.000000000000000000e+00,-1.440703392028808594e+00
8.200000000000005895e-02,1.197184978507564862e-01,-2.631335360791169919e-01,2.738142102356429408e+00,-6.049851659013324223e+00,0.000000000000000000e+00,-1.440319776535034180e+00
8.400000000000006073e-02,1.252426744670873116e-01,-2.753424791762933421e-01,2.785802058748329202e+00,-6.158622219811407561e+00,0.000000000000000000e+00,-1.439920902252197266e+00
8.600000000000006251e-02,1.308607392123318780e-01,-2.877660714835572620e-01,2.832024692095012508e+00,-6.264489997383779318e+00,0.000000000000000000e+00,-1.439506769180297852e+00
8.800000000000006428e-02,1.365697839396090851e-01,-3.003984416417127545e-01,2.876776818473803843e+00,-6.367389869171116601e+00,0.000000000000000000e+00,-1.438815712928771973e+00
9.000000000000006606e-02,1.423668193787532565e-01,-3.132335568718074281e-01,2.920010551971286006e+00,-6.467225647061890292e+00,0.000000000000000000e+00,-1.437781929969787598e+00
9.200000000000006783e-02,1.482487587419674957e-01,-3.262651882997091857e-01,2.961676298960119968e+00,-6.563897501626638764e+00,0.000000000000000000e+00,-1.436722278594970703e+00
9.400000000000006961e-02,1.542124388438620430e-01,-3.394869555003318662e-01,3.001747252289435064e+00,-6.657353704894891422e+00,0.000000000000000000e+00,-1.435636281967163086e+00
9.600000000000007139e-02,1.602546453599824616e-01,-3.528923797834408460e-01,3.040199101977782536e+00,-6.747547764281002891e+00,0.000000000000000000e+00,-1.434524059295654297e+00
9.800000000000007316e-02,1.663721179862975019e-01,-3.664748950029795838e-01,3.077010197648951006e+00,-6.834438755489333772e+00,0.000000000000000000e+00,-1.433385372161865234e+00
1.000000000000000749e-01,1.725615558464736743e-01,-3.802278588698292383e-01,3.112161633751810985e+00,-6.917991492771844442e+00,0.000000000000000000e+00,-1.432219982147216797e+00
1.020000000000000767e-01,1.788196230747356175e-01,-3.941445646165124272e-01,3.145637339702684887e+00,-6.998176710156508662e+00,0.000000000000000000e+00,-1.431027770042419434e+00
1.040000000000000785e-01,1.851429545675831456e-01,-4.082182530008550136e-01,3.177424158436666257e+00,-7.074971218845550247e+00,0.000000000000000000e+00,-1.429808855056762695e+00
1.060000000000000803e-01,1.915281618800678543e-01,-4.224421245986706985e-01,3.207511912294859879e+00,-7.148358038594794905e+00,0.000000000000000000e+00,-1.428562879562377930e+00
1.080000000000000820e-01,1.979718391895702034e-01,-4.368093522241011661e-01,3.235893404672575357e+00,-7.218326394063781848e+00,0.000000000000000000e+00,-1.427289724349975586e+00
1.100000000000000838e-01,2.044705692868999114e-01,-4.513130933942534062e-01,3.262564445599056562e+00,-7.284871762573780885e+00,0.000000000000000000e+00,-1.425989508628845215e+00
1.120000000000000856e-01,2.110209295976830379e-01,-4.659465028461048375e-01,3.287523856477125861e+00,-7.347995878690672278e+00,0.000000000000000000e+00,-1.424662113189697266e+00
1.140000000000000874e-01,2.176194981641342840e-01,-4.807027449596371627e-01,3.310773425877031162e+00,-7.407706636180498627e+00,0.000000000000000000e+00,-1.423307418823242188e+00
1.160000000000000892e-01,2.242628595337126662e-01,-4.955750059758005643e-01,3.332317860723343017e+00,-7.464017981091434883e+00,0.000000000000000000e+00,-1.421925425529479980e+00
1.180000000000000909e-01,2.309476105385966094e-01,-5.105565059770915681e-01,3.352164726075937740e+00,-7.516949781598740721e+00,0.000000000000000000e+00,-1.420516133308410645e+00
1.200000000000000927e-01,2.376703659299331528e-01,-5.256405105562593771e-01,3.370324360341245828e+00,-7.566527646743299584e+00,0.000000000000000000e+00,-1.419079303741455078e+00
1.220000000000000945e-01,2.444277638124401908e-01,-5.408203420596897626e-01,3.386809760684101445e+00,-7.612782682932687450e+00,0.000000000000000000e+00,-1.417615294456481934e+00
1.240000000000000963e-01,2.512164708837186788e-01,-5.560893904163306534e-01,3.401636502454521871e+00,-7.655751323257388385e+00,0.000000000000000000e+00,-1.416123867034912109e+00
1.260000000000000842e-01,2.580331874295249683e-01,-5.714411234505690773e-01,3.414822576181410607e+00,-7.695474983073885333e+00,0.000000000000000000e+00,-1.414605259895324707e+00
1.280000000000000859e-01,2.648746520439239638e-01,-5.868690966146979937e-01,3.426388275584615339e+00,-7.731999824281386324e+00,0.000000000000000000e+00,-1.413059115409851074e+00
1.300000000000000877e-01,2.717376460541535699e-01,-6.023669620995842910e-01,3.436356014744250675e+00,-7.765376370212940138e+00,0.000000000000000000e+00,-1.411485910415649414e+00
1.320000000000000895e-01,2.786189976532414403e-01,-6.179284773311709555e-01,3.444750218753804383e+00,-7.795659276738033050e+00,0.000000000000000000e+00,-1.409885406494140625e+00
1.340000000000000913e-01,2.855155857198801161e-01,-6.335475128105078069e-01,3.451597120876273017e+00,-7.822906905816765288e+00,0.000000000000000000e+00,-1.408257722854614258e+00
1.360000000000000930e-01,2.924243432890504257e-01,-6.492180592208331991e-01,3.456924616253628901e+00,-7.847181019250315970e+00,0.000000000000000000e+00,-1.406602859497070312e+00
1.380000000000000948e-01,2.993422607005778446e-01,-6.649342338600529034e-01,3.460762086488173850e+00,-7.868546411064321511e+00,0.000000000000000000e+00,-1.404921293258666992e+00
1.400000000000000966e-01,3.062663884282793569e-01,-6.806902864048973711e-01,3.463140255814947999e+00,-7.887070607148492840e+00,0.000000000000000000e+00,-1.403212547302246094e+00
1.420000000000000984e-01,3.131938395445169609e-01,-6.964806039114151970e-01,3.464090970825655980e+00,-7.902823402952007470e+00,0.000000000000000000e+00,-1.401476860046386719e+00
1.440000000000001001e-01,3.201217918371111470e-01,-7.122997150879400996e-01,3.463647073047775304e+00,-7.915876598158885891e+00,0.000000000000000000e+00,-1.399714469909667969e+00
1.460000000000001019e-01,3.270474896352886796e-01,-7.281422939609243361e-01,3.461842235721348082e+00,-7.926303655537875414e+00,0.000000000000000000e+00,-1.397925615310668945e+00
1.480000000000001037e-01,3.339682453137252649e-01,-7.440031628680841003e-01,3.458710805296256297e+00,-7.934179369773998403e+00,0.000000000000000000e+00,-1.397875308990478516e+00
